model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,8,32.66,0.9455,0.9989,0.242,5.42 × 10^-4,1.51 × 10^-2
bmshj2018-factorized,1,9,32.17,0.9394,0.997,0.253,6.07 × 10^-4,1.61 × 10^-2
bmshj2018-factorized,1,10,29.26,0.9037,0.9989,0.3063,1.18 × 10^-3,2.26 × 10^-2
bmshj2018-factorized,1,11,32.87,0.9259,1.008,0.2369,5.16 × 10^-4,1.55 × 10^-2
bmshj2018-factorized,1,12,23.63,0.8409,1.0025,0.48,4.33 × 10^-3,4.56 × 10^-2
bmshj2018-factorized,1,13,28.13,0.8933,0.9973,0.3674,1.54 × 10^-3,2.72 × 10^-2
bmshj2018-factorized,1,14,31.33,0.9226,0.9998,0.2471,7.37 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,15,30.9,0.912,1.0001,0.2573,8.13 × 10^-4,1.93 × 10^-2
bmshj2018-factorized,1,16,31.29,0.9354,1.0041,0.2536,7.42 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,17,27.01,0.8901,1.0112,0.3583,1.99 × 10^-3,2.88 × 10^-2
bmshj2018-factorized,1,18,29.79,0.9083,1.0007,0.2853,1.05 × 10^-3,2.19 × 10^-2
bmshj2018-factorized,1,19,31.74,0.9365,0.9957,0.2395,6.69 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,20,28.58,0.9221,0.9988,0.3165,1.39 × 10^-3,2.34 × 10^-2
bmshj2018-factorized,1,21,29.62,0.8933,1.0157,0.2936,1.09 × 10^-3,2.28 × 10^-2
bmshj2018-factorized,1,22,33.42,0.9533,0.99,0.2199,4.55 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,23,26.3,0.9046,0.9986,0.3611,2.34 × 10^-3,2.83 × 10^-2
bmshj2018-factorized,1,0,28.68,0.9191,0.9987,0.6437,1.36 × 10^-3,2.68 × 10^-2
bmshj2018-factorized,1,1,32.89,0.9226,1.0187,0.3816,5.14 × 10^-4,1.56 × 10^-2
bmshj2018-factorized,1,2,34.55,0.9552,0.9988,0.3281,3.51 × 10^-4,1.21 × 10^-2
bmshj2018-factorized,1,3,32.93,0.9326,0.9999,0.3878,5.09 × 10^-4,1.57 × 10^-2
bmshj2018-factorized,1,4,28.69,0.9407,0.9995,0.6904,1.35 × 10^-3,2.59 × 10^-2
bmshj2018-factorized,1,5,29.73,0.929,1.0076,0.5298,1.06 × 10^-3,2.21 × 10^-2
bmshj2018-factorized,1,6,34.13,0.9697,0.9984,0.3988,3.87 × 10^-4,1.3 × 10^-2
bmshj2018-factorized,1,7,27.58,0.9347,1.0021,0.7133,1.75 × 10^-3,2.92 × 10^-2
bmshj2018-factorized,1,8,34.35,0.9564,1.0006,0.3501,3.68 × 10^-4,1.29 × 10^-2
bmshj2018-factorized,1,9,34.09,0.9533,1.0004,0.3668,3.9 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,10,30.87,0.9297,1.0036,0.471,8.19 × 10^-4,1.91 × 10^-2
bmshj2018-factorized,1,11,34.39,0.9431,1.0032,0.3527,3.64 × 10^-4,1.33 × 10^-2
bmshj2018-factorized,1,12,25.17,0.8895,0.9972,0.777,3.04 × 10^-3,3.85 × 10^-2
bmshj2018-factorized,1,13,29.84,0.9237,0.9997,0.5649,1.04 × 10^-3,2.26 × 10^-2
bmshj2018-factorized,1,14,32.73,0.9388,1.0045,0.3719,5.33 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,15,32.51,0.9365,0.9985,0.3977,5.61 × 10^-4,1.63 × 10^-2
bmshj2018-factorized,1,16,32.82,0.9505,1.0056,0.3735,5.22 × 10^-4,1.45 × 10^-2
bmshj2018-factorized,1,17,28.54,0.9202,1.0093,0.5582,1.4 × 10^-3,2.44 × 10^-2
bmshj2018-factorized,1,18,31.5,0.9307,1.0029,0.4349,7.08 × 10^-4,1.84 × 10^-2
bmshj2018-factorized,1,19,33.25,0.9503,0.9993,0.3535,4.73 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,20,30.3,0.9416,1.0017,0.4792,9.34 × 10^-4,1.96 × 10^-2
bmshj2018-factorized,1,21,31.11,0.9203,1.0124,0.4551,7.75 × 10^-4,1.95 × 10^-2
bmshj2018-factorized,1,22,35.1,0.9616,0.9978,0.3131,3.09 × 10^-4,1.15 × 10^-2
bmshj2018-factorized,1,23,27.96,0.9341,0.9971,0.5597,1.6 × 10^-3,2.35 × 10^-2
bmshj2018-factorized,1,0,30.36,0.9453,1.0004,0.9602,9.21 × 10^-4,2.22 × 10^-2
bmshj2018-factorized,1,1,34.42,0.9418,1.0167,0.5736,3.62 × 10^-4,1.34 × 10^-2
