model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,21,29.64,0.8934,1.0153,0.2934,1.09 × 10^-3,2.28 × 10^-2
bmshj2018-factorized,1,22,33.38,0.9527,0.9916,0.2199,4.59 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,23,26.3,0.9046,0.9982,0.3625,2.34 × 10^-3,2.83 × 10^-2
bmshj2018-factorized,1,0,28.67,0.9192,0.9978,0.6448,1.36 × 10^-3,2.68 × 10^-2
bmshj2018-factorized,1,1,32.9,0.9227,1.0072,0.3823,5.12 × 10^-4,1.56 × 10^-2
bmshj2018-factorized,1,2,34.52,0.9549,0.9984,0.3288,3.54 × 10^-4,1.22 × 10^-2
bmshj2018-factorized,1,3,32.93,0.9326,1.0016,0.3867,5.1 × 10^-4,1.57 × 10^-2
bmshj2018-factorized,1,4,28.68,0.9406,1.0008,0.6899,1.35 × 10^-3,2.6 × 10^-2
bmshj2018-factorized,1,5,29.73,0.9293,1.0015,0.5314,1.06 × 10^-3,2.21 × 10^-2
bmshj2018-factorized,1,6,34.11,0.9696,1.0014,0.3974,3.88 × 10^-4,1.3 × 10^-2
bmshj2018-factorized,1,7,27.56,0.9343,1.0042,0.7142,1.75 × 10^-3,2.93 × 10^-2
bmshj2018-factorized,1,8,34.33,0.9565,0.9985,0.3488,3.69 × 10^-4,1.29 × 10^-2
bmshj2018-factorized,1,9,34.13,0.9536,0.9995,0.367,3.87 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,10,30.87,0.9298,1.0028,0.4715,8.19 × 10^-4,1.91 × 10^-2
bmshj2018-factorized,1,11,34.38,0.9431,1.0042,0.3527,3.65 × 10^-4,1.33 × 10^-2
bmshj2018-factorized,1,12,25.16,0.889,0.9995,0.7786,3.05 × 10^-3,3.86 × 10^-2
bmshj2018-factorized,1,13,29.83,0.9238,0.9968,0.5657,1.04 × 10^-3,2.26 × 10^-2
bmshj2018-factorized,1,14,32.72,0.939,1.0045,0.3712,5.35 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,15,32.5,0.9363,0.9998,0.3966,5.62 × 10^-4,1.63 × 10^-2
bmshj2018-factorized,1,16,32.83,0.9506,1.0035,0.3735,5.22 × 10^-4,1.46 × 10^-2
bmshj2018-factorized,1,17,28.53,0.9199,1.0093,0.5574,1.4 × 10^-3,2.44 × 10^-2
bmshj2018-factorized,1,18,31.52,0.9309,0.9964,0.4353,7.05 × 10^-4,1.84 × 10^-2
bmshj2018-factorized,1,19,33.26,0.9503,0.9968,0.3546,4.73 × 10^-4,1.26 × 10^-2
bmshj2018-factorized,1,20,30.3,0.9418,0.9969,0.4776,9.33 × 10^-4,1.96 × 10^-2
bmshj2018-factorized,1,21,31.08,0.9198,1.0166,0.4552,7.79 × 10^-4,1.95 × 10^-2
bmshj2018-factorized,1,22,35.12,0.9619,0.9975,0.3119,3.07 × 10^-4,1.15 × 10^-2
bmshj2018-factorized,1,23,27.97,0.9342,0.997,0.5618,1.6 × 10^-3,2.34 × 10^-2
bmshj2018-factorized,1,0,30.35,0.9454,1.0026,0.9581,9.23 × 10^-4,2.23 × 10^-2
bmshj2018-factorized,1,1,34.44,0.9419,1.0175,0.5729,3.6 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,2,36.17,0.9664,1.0033,0.4735,2.42 × 10^-4,1.03 × 10^-2
bmshj2018-factorized,1,3,34.35,0.949,1.0054,0.5674,3.67 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,4,30.68,0.961,0.9988,0.9818,8.55 × 10^-4,2.08 × 10^-2
bmshj2018-factorized,1,5,31.61,0.9521,1.0033,0.7842,6.91 × 10^-4,1.81 × 10^-2
bmshj2018-factorized,1,6,35.9,0.9771,0.9997,0.5548,2.57 × 10^-4,1.08 × 10^-2
bmshj2018-factorized,1,7,29.39,0.9545,1.0015,1.0237,1.15 × 10^-3,2.4 × 10^-2
bmshj2018-factorized,1,8,35.91,0.9642,0.9983,0.495,2.56 × 10^-4,1.11 × 10^-2
bmshj2018-factorized,1,9,35.7,0.9632,0.9962,0.5227,2.69 × 10^-4,1.15 × 10^-2
bmshj2018-factorized,1,10,32.56,0.9508,1.0024,0.6984,5.55 × 10^-4,1.59 × 10^-2
bmshj2018-factorized,1,11,35.98,0.9576,1.0026,0.5154,2.52 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,12,26.88,0.9261,0.9984,1.1692,2.05 × 10^-3,3.19 × 10^-2
bmshj2018-factorized,1,13,31.56,0.9475,1.0017,0.8306,6.99 × 10^-4,1.87 × 10^-2
bmshj2018-factorized,1,14,34.06,0.9518,1.0006,0.5426,3.93 × 10^-4,1.29 × 10^-2
bmshj2018-factorized,1,15,34.25,0.9559,1.0024,0.5914,3.76 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,16,34.44,0.9625,1.0077,0.5372,3.59 × 10^-4,1.24 × 10^-2
bmshj2018-factorized,1,17,30.26,0.9423,1.003,0.8198,9.42 × 10^-4,2.04 × 10^-2
bmshj2018-factorized,1,18,33.12,0.9495,0.9977,0.6453,4.88 × 10^-4,1.56 × 10^-2
bmshj2018-factorized,1,19,34.83,0.9617,0.9978,0.5162,3.29 × 10^-4,1.09 × 10^-2
bmshj2018-factorized,1,20,32.02,0.956,1.0019,0.697,6.28 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,21,32.59,0.9416,1.0052,0.6794,5.51 × 10^-4,1.66 × 10^-2
bmshj2018-factorized,1,22,36.69,0.9688,1.0017,0.4391,2.14 × 10^-4,9.85 × 10^-3
bmshj2018-factorized,1,23,29.76,0.9552,0.9987,0.8207,1.06 × 10^-3,1.93 × 10^-2
bmshj2018-factorized,1,0,33.28,0.9712,1.0004,1.5116,4.69 × 10^-4,1.62 × 10^-2
bmshj2018-factorized,1,1,36.23,0.9597,1.0079,0.8718,2.38 × 10^-4,1.11 × 10^-2
bmshj2018-factorized,1,2,38.36,0.9772,0.9989,0.6856,1.46 × 10^-4,8.3 × 10^-3
bmshj2018-factorized,1,3,36.47,0.9653,1.0028,0.8569,2.25 × 10^-4,1.09 × 10^-2
bmshj2018-factorized,1,4,33.77,0.9792,0.9999,1.426,4.2 × 10^-4,1.5 × 10^-2
bmshj2018-factorized,1,5,34.65,0.9724,1.0039,1.206,3.43 × 10^-4,1.33 × 10^-2
bmshj2018-factorized,1,6,38.05,0.9836,0.9984,0.7785,1.57 × 10^-4,8.72 × 10^-3
bmshj2018-factorized,1,7,32.65,0.9736,0.9999,1.5541,5.43 × 10^-4,1.72 × 10^-2
bmshj2018-factorized,1,8,37.83,0.971,0.9976,0.7117,1.65 × 10^-4,9.41 × 10^-3
bmshj2018-factorized,1,9,37.61,0.9715,1.0013,0.7484,1.73 × 10^-4,9.64 × 10^-3
bmshj2018-factorized,1,10,35.2,0.9692,1.001,1.0685,3.02 × 10^-4,1.23 × 10^-2
bmshj2018-factorized,1,11,37.87,0.9697,1.0015,0.7637,1.63 × 10^-4,9.37 × 10^-3
bmshj2018-factorized,1,12,30.15,0.9631,0.9995,1.9009,9.66 × 10^-4,2.26 × 10^-2
bmshj2018-factorized,1,13,34.12,0.968,1.0004,1.2579,3.88 × 10^-4,1.44 × 10^-2
bmshj2018-factorized,1,14,36.23,0.9664,0.9995,0.8226,2.38 × 10^-4,1.05 × 10^-2
bmshj2018-factorized,1,15,36.82,0.9727,1.0042,0.9024,2.08 × 10^-4,1.04 × 10^-2
bmshj2018-factorized,1,16,36.77,0.9732,1.0012,0.7906,2.1 × 10^-4,1.01 × 10^-2
bmshj2018-factorized,1,17,33.0,0.9625,1.0041,1.2493,5.01 × 10^-4,1.57 × 10^-2
bmshj2018-factorized,1,18,35.53,0.9671,1.0003,0.9872,2.8 × 10^-4,1.22 × 10^-2
bmshj2018-factorized,1,19,37.12,0.9727,1.0004,0.7766,1.94 × 10^-4,8.8 × 10^-3
bmshj2018-factorized,1,20,34.82,0.9696,1.0016,1.0672,3.3 × 10^-4,1.28 × 10^-2
bmshj2018-factorized,1,21,34.83,0.9616,1.0029,1.0502,3.29 × 10^-4,1.32 × 10^-2
bmshj2018-factorized,1,22,38.47,0.9751,0.9993,0.6269,1.42 × 10^-4,8.36 × 10^-3
bmshj2018-factorized,1,23,32.95,0.9739,1.0026,1.2521,5.07 × 10^-4,1.43 × 10^-2
bmshj2018-factorized,1,0,35.83,0.9834,0.9991,2.0719,2.62 × 10^-4,1.23 × 10^-2
bmshj2018-factorized,1,1,38.16,0.9728,0.9979,1.2512,1.53 × 10^-4,9.11 × 10^-3
bmshj2018-factorized,1,3,38.35,0.9762,0.9996,1.2231,1.46 × 10^-4,8.95 × 10^-3
bmshj2018-factorized,1,4,36.02,0.9869,0.9984,1.903,2.5 × 10^-4,1.17 × 10^-2
bmshj2018-factorized,1,5,37.04,0.9825,1.0021,1.6477,1.98 × 10^-4,1.03 × 10^-2
bmshj2018-factorized,1,6,39.88,0.9876,0.9973,1.0508,1.03 × 10^-4,7.26 × 10^-3
bmshj2018-factorized,1,7,35.06,0.9837,0.9992,2.1041,3.12 × 10^-4,1.32 × 10^-2
bmshj2018-factorized,1,8,39.39,0.9761,0.9983,0.9975,1.15 × 10^-4,8.09 × 10^-3
bmshj2018-factorized,1,9,39.25,0.9778,1.0,1.0472,1.19 × 10^-4,8.17 × 10^-3
bmshj2018-factorized,1,10,37.48,0.9804,0.999,1.4936,1.79 × 10^-4,9.68 × 10^-3
bmshj2018-factorized,1,11,39.69,0.9787,0.9994,1.0764,1.07 × 10^-4,7.76 × 10^-3
bmshj2018-factorized,1,12,32.91,0.9798,0.9963,2.6159,5.12 × 10^-4,1.67 × 10^-2
bmshj2018-factorized,1,13,36.31,0.9802,0.9974,1.7376,2.34 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,14,38.11,0.9764,0.9955,1.1697,1.55 × 10^-4,8.7 × 10^-3
bmshj2018-factorized,1,15,38.98,0.9821,1.0032,1.2558,1.27 × 10^-4,8.34 × 10^-3
bmshj2018-factorized,1,16,38.66,0.9806,0.9996,1.112,1.36 × 10^-4,8.35 × 10^-3
bmshj2018-factorized,1,17,35.01,0.9743,1.0029,1.7469,3.16 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,18,37.54,0.9774,0.9988,1.3892,1.76 × 10^-4,9.91 × 10^-3
bmshj2018-factorized,1,19,38.91,0.9793,1.0006,1.0888,1.29 × 10^-4,7.39 × 10^-3
bmshj2018-factorized,1,20,37.01,0.9775,0.9997,1.48,1.99 × 10^-4,1.03 × 10^-2
bmshj2018-factorized,1,21,36.8,0.9739,0.9989,1.4851,2.09 × 10^-4,1.07 × 10^-2
bmshj2018-factorized,1,23,35.16,0.9833,1.001,1.7177,3.05 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,0,38.54,0.9906,0.9991,2.721,1.4 × 10^-4,9.1 × 10^-3
bmshj2018-factorized,1,4,38.32,0.9918,0.9988,2.4455,1.47 × 10^-4,9.02 × 10^-3
bmshj2018-factorized,1,5,39.52,0.989,1.0003,2.1779,1.12 × 10^-4,7.86 × 10^-3
bmshj2018-factorized,1,7,37.54,0.9903,1.0002,2.7745,1.76 × 10^-4,1.01 × 10^-2
bmshj2018-factorized,1,10,39.87,0.9876,0.9997,2.0126,1.03 × 10^-4,7.52 × 10^-3
bmshj2018-factorized,1,12,36.03,0.9895,0.9994,3.4421,2.49 × 10^-4,1.18 × 10^-2
bmshj2018-factorized,1,13,38.53,0.988,1.0002,2.3138,1.4 × 10^-4,8.7 × 10^-3
bmshj2018-factorized,1,17,37.39,0.9836,1.0028,2.3817,1.83 × 10^-4,9.79 × 10^-3
bmshj2018-factorized,1,18,39.76,0.9849,1.001,1.9035,1.06 × 10^-4,7.83 × 10^-3
bmshj2018-factorized,1,20,39.26,0.9835,1.0011,2.0088,1.19 × 10^-4,8.14 × 10^-3
bmshj2018-factorized,1,21,38.9,0.9826,1.0006,2.0424,1.29 × 10^-4,8.44 × 10^-3
bmshj2018-factorized,1,23,37.29,0.9894,1.0007,2.2776,1.87 × 10^-4,8.82 × 10^-3
bmshj2018-factorized,1,0,25.82,0.8511,0.9925,0.3255,2.62 × 10^-3,3.74 × 10^-2
bmshj2018-factorized,1,1,29.68,0.871,1.0191,0.2059,1.08 × 10^-3,2.19 × 10^-2
bmshj2018-factorized,1,2,30.81,0.916,1.0117,0.1948,8.3 × 10^-4,1.87 × 10^-2
bmshj2018-factorized,1,3,29.45,0.8789,1.0102,0.2117,1.14 × 10^-3,2.33 × 10^-2
bmshj2018-factorized,1,4,25.38,0.8749,0.9892,0.3625,2.9 × 10^-3,3.9 × 10^-2
bmshj2018-factorized,1,5,26.71,0.8589,1.0012,0.2658,2.13 × 10^-3,3.18 × 10^-2
bmshj2018-factorized,1,6,29.79,0.9356,1.0206,0.2406,1.05 × 10^-3,2.17 × 10^-2
bmshj2018-factorized,1,7,24.8,0.8814,1.0109,0.3829,3.31 × 10^-3,4.11 × 10^-2
bmshj2018-factorized,1,8,30.55,0.9247,0.9926,0.2093,8.81 × 10^-4,1.93 × 10^-2
bmshj2018-factorized,1,9,30.02,0.9097,1.0,0.2164,9.94 × 10^-4,2.11 × 10^-2
bmshj2018-factorized,1,10,27.74,0.864,0.9929,0.2442,1.68 × 10^-3,2.78 × 10^-2
bmshj2018-factorized,1,11,30.72,0.8942,1.0182,0.2016,8.47 × 10^-4,1.99 × 10^-2
bmshj2018-factorized,1,12,23.13,0.7989,0.9902,0.3585,4.86 × 10^-3,5.01 × 10^-2
bmshj2018-factorized,1,13,26.46,0.8439,1.0013,0.282,2.26 × 10^-3,3.38 × 10^-2
bmshj2018-factorized,1,14,29.58,0.8977,0.9945,0.2082,1.1 × 10^-3,2.1 × 10^-2
bmshj2018-factorized,1,15,28.95,0.8679,1.0037,0.2018,1.27 × 10^-3,2.47 × 10^-2
bmshj2018-factorized,1,16,29.52,0.906,1.0122,0.2148,1.12 × 10^-3,2.21 × 10^-2
bmshj2018-factorized,1,17,25.88,0.8449,1.0065,0.2783,2.58 × 10^-3,3.44 × 10^-2
bmshj2018-factorized,1,18,28.32,0.8771,0.9976,0.2325,1.47 × 10^-3,2.64 × 10^-2
bmshj2018-factorized,1,19,30.21,0.9163,1.0058,0.2068,9.53 × 10^-4,1.79 × 10^-2
bmshj2018-factorized,1,20,27.41,0.8987,0.9954,0.259,1.82 × 10^-3,2.75 × 10^-2
bmshj2018-factorized,1,21,27.92,0.8494,1.0437,0.233,1.61 × 10^-3,2.81 × 10^-2
bmshj2018-factorized,1,22,31.48,0.9366,0.9993,0.1959,7.11 × 10^-4,1.76 × 10^-2
bmshj2018-factorized,1,23,25.5,0.8637,1.008,0.2897,2.82 × 10^-3,3.37 × 10^-2
bmshj2018-factorized,1,0,27.34,0.8883,0.9975,0.457,1.85 × 10^-3,3.18 × 10^-2
bmshj2018-factorized,1,1,30.88,0.8883,1.0361,0.2587,8.16 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,2,32.32,0.933,1.0082,0.2346,5.86 × 10^-4,1.59 × 10^-2
bmshj2018-factorized,1,3,30.81,0.8995,1.0097,0.2624,8.3 × 10^-4,2.02 × 10^-2
bmshj2018-factorized,1,4,27.3,0.9128,0.9958,0.5057,1.86 × 10^-3,3.15 × 10^-2
bmshj2018-factorized,1,5,28.38,0.8956,1.0049,0.3615,1.45 × 10^-3,2.66 × 10^-2
bmshj2018-factorized,1,6,31.66,0.9523,1.0086,0.2976,6.83 × 10^-4,1.76 × 10^-2
bmshj2018-factorized,1,7,26.56,0.9129,1.0047,0.5279,2.21 × 10^-3,3.39 × 10^-2
bmshj2018-factorized,1,8,32.2,0.9398,0.9946,0.2532,6.03 × 10^-4,1.64 × 10^-2
bmshj2018-factorized,1,9,31.78,0.9283,0.9968,0.2652,6.63 × 10^-4,1.77 × 10^-2
bmshj2018-factorized,1,10,29.26,0.8908,1.0051,0.3211,1.19 × 10^-3,2.37 × 10^-2
bmshj2018-factorized,1,11,32.01,0.9103,1.009,0.2392,6.29 × 10^-4,1.74 × 10^-2
bmshj2018-factorized,1,12,24.77,0.8537,0.9994,0.533,3.33 × 10^-3,4.21 × 10^-2
bmshj2018-factorized,1,13,28.13,0.8813,1.0006,0.3812,1.54 × 10^-3,2.83 × 10^-2
bmshj2018-factorized,1,14,30.88,0.9127,1.0033,0.2573,8.17 × 10^-4,1.85 × 10^-2
bmshj2018-factorized,1,15,30.41,0.8973,0.9999,0.2585,9.09 × 10^-4,2.11 × 10^-2
bmshj2018-factorized,1,16,31.05,0.9243,1.0128,0.2664,7.86 × 10^-4,1.89 × 10^-2
bmshj2018-factorized,1,17,27.54,0.8858,1.0103,0.3861,1.76 × 10^-3,2.89 × 10^-2
bmshj2018-factorized,1,18,29.73,0.8984,1.0058,0.2962,1.06 × 10^-3,2.29 × 10^-2
bmshj2018-factorized,1,19,31.6,0.9288,1.0029,0.2518,6.91 × 10^-4,1.55 × 10^-2
bmshj2018-factorized,1,20,29.07,0.9229,1.0001,0.3425,1.24 × 10^-3,2.32 × 10^-2
bmshj2018-factorized,1,21,29.3,0.8793,1.0223,0.3089,1.18 × 10^-3,2.43 × 10^-2
bmshj2018-factorized,1,22,33.12,0.9464,1.0024,0.2282,4.87 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,23,27.25,0.9006,1.0045,0.3965,1.88 × 10^-3,2.8 × 10^-2
bmshj2018-factorized,1,0,29.11,0.9233,0.9973,0.6438,1.23 × 10^-3,2.62 × 10^-2
bmshj2018-factorized,1,1,32.17,0.9075,1.029,0.3332,6.07 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,2,34.03,0.9489,1.0065,0.2946,3.95 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,3,32.26,0.9194,1.0043,0.3392,5.95 × 10^-4,1.73 × 10^-2
bmshj2018-factorized,1,4,29.34,0.9421,0.9942,0.6876,1.16 × 10^-3,2.52 × 10^-2
bmshj2018-factorized,1,5,30.33,0.927,1.0011,0.4958,9.27 × 10^-4,2.17 × 10^-2
bmshj2018-factorized,1,6,33.44,0.9639,1.0049,0.3736,4.53 × 10^-4,1.45 × 10^-2
bmshj2018-factorized,1,7,28.55,0.9387,1.0012,0.717,1.4 × 10^-3,2.74 × 10^-2
bmshj2018-factorized,1,8,33.77,0.9507,1.0037,0.3136,4.19 × 10^-4,1.41 × 10^-2
bmshj2018-factorized,1,9,33.39,0.9424,0.9957,0.3288,4.58 × 10^-4,1.5 × 10^-2
bmshj2018-factorized,1,10,30.92,0.9178,1.0059,0.4354,8.09 × 10^-4,1.99 × 10^-2
bmshj2018-factorized,1,11,33.45,0.9281,1.0075,0.3042,4.52 × 10^-4,1.5 × 10^-2
bmshj2018-factorized,1,12,26.69,0.9043,0.9962,0.7797,2.14 × 10^-3,3.42 × 10^-2
bmshj2018-factorized,1,13,29.87,0.9134,0.995,0.5225,1.03 × 10^-3,2.35 × 10^-2
bmshj2018-factorized,1,14,32.37,0.9292,1.0035,0.3299,5.79 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,15,32.14,0.9253,1.0041,0.3447,6.1 × 10^-4,1.76 × 10^-2
bmshj2018-factorized,1,16,32.69,0.9406,1.0,0.3409,5.38 × 10^-4,1.6 × 10^-2
bmshj2018-factorized,1,17,29.3,0.9176,1.0119,0.5321,1.17 × 10^-3,2.4 × 10^-2
bmshj2018-factorized,1,18,31.3,0.9216,1.0011,0.3952,7.41 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,19,33.12,0.944,1.0007,0.3198,4.87 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,20,30.85,0.9412,0.997,0.4561,8.23 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,21,30.84,0.909,1.0193,0.4261,8.24 × 10^-4,2.07 × 10^-2
bmshj2018-factorized,1,22,34.56,0.9544,0.9993,0.2751,3.5 × 10^-4,1.28 × 10^-2
bmshj2018-factorized,1,23,29.1,0.9307,1.0008,0.5461,1.23 × 10^-3,2.3 × 10^-2
bmshj2018-factorized,1,0,31.16,0.9509,0.9996,0.9062,7.66 × 10^-4,2.09 × 10^-2
bmshj2018-factorized,1,1,33.65,0.9284,1.0256,0.4604,4.31 × 10^-4,1.47 × 10^-2
bmshj2018-factorized,1,2,35.7,0.9613,1.0093,0.3826,2.69 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,3,33.89,0.9393,1.0042,0.4581,4.08 × 10^-4,1.46 × 10^-2
bmshj2018-factorized,1,4,31.35,0.9621,0.9992,0.9201,7.33 × 10^-4,2.01 × 10^-2
bmshj2018-factorized,1,5,32.33,0.9511,1.0052,0.6822,5.85 × 10^-4,1.75 × 10^-2
bmshj2018-factorized,1,6,35.22,0.973,1.0064,0.4744,3.01 × 10^-4,1.21 × 10^-2
bmshj2018-factorized,1,7,30.6,0.9569,1.0015,0.9709,8.7 × 10^-4,2.2 × 10^-2
bmshj2018-factorized,1,8,35.46,0.9598,0.999,0.3935,2.85 × 10^-4,1.2 × 10^-2
bmshj2018-factorized,1,9,35.03,0.9546,1.0017,0.4199,3.14 × 10^-4,1.28 × 10^-2
bmshj2018-factorized,1,10,32.75,0.9423,1.0041,0.5993,5.3 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,11,35.07,0.9456,1.0063,0.3957,3.11 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,12,28.8,0.9426,0.9931,1.1062,1.32 × 10^-3,2.7 × 10^-2
bmshj2018-factorized,1,13,31.66,0.9403,0.9986,0.7285,6.82 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,14,33.86,0.9456,1.0032,0.4414,4.11 × 10^-4,1.37 × 10^-2
bmshj2018-factorized,1,15,33.91,0.9486,1.0001,0.4751,4.06 × 10^-4,1.45 × 10^-2
bmshj2018-factorized,1,16,34.35,0.9549,0.9995,0.4447,3.67 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,17,31.1,0.9407,1.0016,0.7292,7.77 × 10^-4,1.99 × 10^-2
bmshj2018-factorized,1,18,33.09,0.9451,1.0024,0.5451,4.91 × 10^-4,1.61 × 10^-2
bmshj2018-factorized,1,19,34.8,0.9584,1.0009,0.4243,3.31 × 10^-4,1.14 × 10^-2
bmshj2018-factorized,1,20,32.77,0.9559,0.9998,0.6103,5.29 × 10^-4,1.6 × 10^-2
bmshj2018-factorized,1,21,32.54,0.935,1.0038,0.5907,5.58 × 10^-4,1.73 × 10^-2
bmshj2018-factorized,1,22,36.07,0.9625,0.9985,0.335,2.47 × 10^-4,1.1 × 10^-2
bmshj2018-factorized,1,23,31.11,0.9537,1.0006,0.7435,7.75 × 10^-4,1.86 × 10^-2
bmshj2018-factorized,1,0,32.89,0.9675,0.9992,1.1697,5.14 × 10^-4,1.72 × 10^-2
bmshj2018-factorized,1,1,35.2,0.9464,1.0205,0.6292,3.02 × 10^-4,1.26 × 10^-2
bmshj2018-factorized,1,2,37.35,0.9708,1.0046,0.49,1.84 × 10^-4,9.51 × 10^-3
bmshj2018-factorized,1,3,35.44,0.9556,1.0018,0.6192,2.86 × 10^-4,1.24 × 10^-2
bmshj2018-factorized,1,4,33.06,0.9744,0.9948,1.1671,4.94 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,5,34.06,0.9665,0.9999,0.8882,3.92 × 10^-4,1.44 × 10^-2
bmshj2018-factorized,1,6,36.97,0.9795,0.9975,0.5992,2.01 × 10^-4,1.0 × 10^-2
bmshj2018-factorized,1,7,32.14,0.9691,0.9971,1.2234,6.11 × 10^-4,1.85 × 10^-2
bmshj2018-factorized,1,8,36.88,0.9667,0.9983,0.5016,2.05 × 10^-4,1.04 × 10^-2
bmshj2018-factorized,1,9,36.44,0.9639,1.0065,0.5402,2.27 × 10^-4,1.1 × 10^-2
bmshj2018-factorized,1,10,34.42,0.9609,0.9999,0.8027,3.61 × 10^-4,1.37 × 10^-2
bmshj2018-factorized,1,11,36.67,0.9599,1.0013,0.5308,2.15 × 10^-4,1.08 × 10^-2
bmshj2018-factorized,1,12,30.14,0.9616,0.9907,1.4135,9.69 × 10^-4,2.29 × 10^-2
bmshj2018-factorized,1,13,33.45,0.9606,1.001,0.9735,4.52 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,14,35.44,0.9591,1.0003,0.5871,2.86 × 10^-4,1.16 × 10^-2
bmshj2018-factorized,1,15,35.87,0.9654,0.9984,0.6372,2.59 × 10^-4,1.18 × 10^-2
bmshj2018-factorized,1,16,35.83,0.966,1.0047,0.5777,2.61 × 10^-4,1.15 × 10^-2
bmshj2018-factorized,1,17,32.53,0.9562,1.0066,0.9534,5.59 × 10^-4,1.69 × 10^-2
bmshj2018-factorized,1,18,34.84,0.9618,0.9991,0.7333,3.28 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,19,36.37,0.9688,1.0001,0.55,2.31 × 10^-4,9.78 × 10^-3
bmshj2018-factorized,1,20,34.31,0.9654,1.0007,0.7783,3.7 × 10^-4,1.36 × 10^-2
bmshj2018-factorized,1,21,34.15,0.9534,1.0027,0.7938,3.85 × 10^-4,1.45 × 10^-2
bmshj2018-factorized,1,22,37.52,0.9697,1.0048,0.4194,1.77 × 10^-4,9.43 × 10^-3
bmshj2018-factorized,1,23,32.47,0.9676,1.0037,0.959,5.66 × 10^-4,1.57 × 10^-2
bmshj2018-factorized,1,0,35.68,0.9817,0.9985,1.6879,2.7 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,1,36.93,0.9621,1.0011,0.9419,2.03 × 10^-4,1.05 × 10^-2
bmshj2018-factorized,1,2,39.24,0.9786,1.0029,0.7094,1.19 × 10^-4,7.83 × 10^-3
bmshj2018-factorized,1,3,37.38,0.9686,1.0037,0.9132,1.83 × 10^-4,1.01 × 10^-2
bmshj2018-factorized,1,4,35.53,0.9842,0.9966,1.617,2.8 × 10^-4,1.26 × 10^-2
bmshj2018-factorized,1,5,36.63,0.9787,1.0003,1.2741,2.17 × 10^-4,1.1 × 10^-2
bmshj2018-factorized,1,6,38.88,0.9847,1.0003,0.8347,1.3 × 10^-4,8.21 × 10^-3
bmshj2018-factorized,1,7,34.81,0.9809,0.9953,1.7492,3.3 × 10^-4,1.39 × 10^-2
bmshj2018-factorized,1,8,38.54,0.9721,1.0001,0.715,1.4 × 10^-4,8.93 × 10^-3
bmshj2018-factorized,1,9,38.24,0.9718,0.9998,0.7785,1.5 × 10^-4,9.26 × 10^-3
bmshj2018-factorized,1,10,36.83,0.9747,1.0011,1.1735,2.08 × 10^-4,1.07 × 10^-2
bmshj2018-factorized,1,11,38.38,0.9706,1.0026,0.7789,1.45 × 10^-4,9.01 × 10^-3
bmshj2018-factorized,1,12,33.87,0.9813,0.9967,2.0905,4.1 × 10^-4,1.54 × 10^-2
bmshj2018-factorized,1,13,35.65,0.9747,1.0016,1.4029,2.73 × 10^-4,1.24 × 10^-2
bmshj2018-factorized,1,14,37.57,0.9713,1.0,0.8728,1.75 × 10^-4,9.46 × 10^-3
bmshj2018-factorized,1,15,37.99,0.9766,1.0001,0.9292,1.59 × 10^-4,9.45 × 10^-3
bmshj2018-factorized,1,16,37.9,0.9751,0.9998,0.8443,1.62 × 10^-4,9.4 × 10^-3
bmshj2018-factorized,1,17,35.06,0.9698,1.002,1.3945,3.12 × 10^-4,1.31 × 10^-2
bmshj2018-factorized,1,18,36.99,0.9732,1.0004,1.0674,2.0 × 10^-4,1.07 × 10^-2
bmshj2018-factorized,1,19,38.36,0.9765,1.0013,0.8004,1.46 × 10^-4,8.0 × 10^-3
bmshj2018-factorized,1,20,36.75,0.9738,0.9996,1.1271,2.11 × 10^-4,1.08 × 10^-2
